City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,210 5TH ST SW,Commercial,Commercial,Alteration,250000,KINGSTON POINTE,17-Mar-16,Linn
Cedar Rapids,211 10TH AVE SW,Residential,Single Family,New,66855,SCALLON - 2-STORY 1A,27-May-16,Linn
Cedar Rapids,211 1ST AVE SE,Commercial,Commercial,Alteration,210000,HIGH PROPERTIES OFFICE,11-Jan-16,Linn
Cedar Rapids,2112 STONE RIDGE DR SW,Residential,Single Family,New,77164,LIVINGSTON WITH A DECK,5-Jan-16,Linn
Cedar Rapids,2118 STONE RIDGE DR SW,Residential,Single Family,New,77996,,28-Jan-16,Linn
Cedar Rapids,2120 SCOTTY DR SW,Commercial,Commercial,Alteration,78000,,21-Apr-16,Linn
Cedar Rapids,2120 SNAPDRAGON CIR SW,Residential,Single Family,New,87920,,22-Jan-16,Linn
Cedar Rapids,2121 ARTHUR COLLINS PKWY SW,Commercial,Commercial,Alteration,192500,,3-May-16,Linn
Cedar Rapids,213 16TH AVE SE,Commercial,Commercial,Alteration,235000,IDEAL THEATRE,19-Feb-16,Linn
Cedar Rapids,2131 RED ROCK DR SW,Residential,Single Family,New,75924,SHELBY,22-Jul-16,Linn
Cedar Rapids,2137 RED ROCK DR SW,Residential,Single Family,New,75924,SHELBY,16-Feb-16,Linn
Cedar Rapids,2143 RED ROCK DR SW,Residential,Single Family,New,75540,LIVINGSTON WITH A DECK,16-Feb-16,Linn
Cedar Rapids,2149 RED ROCK DR SW,Residential,Single Family,New,75540,LIVINGSTON WITH A DECK,23-Feb-16,Linn
Cedar Rapids,219 16TH AVE SE,Commercial,Commercial,Alteration,90000,RESTAURANT,14-Jul-16,Linn
Cedar Rapids,220 40TH ST NE,Commercial,Commercial,Alteration,250000,CHRIST EPISCOPAL - SANCTUARY REMODEL,18-Apr-16,Linn
Cedar Rapids,220 40TH ST NE,Commercial,Commercial,Alteration,109000,CHRIST EPISCOPAL - SANCTUARY REMODEL,20-Apr-16,Linn
Cedar Rapids,2202 WYCLIFFE CT SW,Residential,Single Family,New,98134,RIVERHILL 179,13-May-16,Linn
Cedar Rapids,2204 TRANQUIL CT NW,Residential,Single Family,New,54265,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2205 FOREST DR SE,Commercial,Commercial,Alteration,62000,WASHINGTON SCHOOL - BATHROOM REMODEL,24-May-16,Linn
Cedar Rapids,2206 SNAPDRAGON CIR SW,Residential,Single Family,New,102614,,8-Jul-16,Linn
Cedar Rapids,2206 TRANQUIL CT NW,Residential,Single Family,New,52295,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2208 TRANQUIL CT NW,Residential,Single Family,New,53165,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,221 4TH AVE SW,Residential,Single Family,New,57860,,19-Jul-16,Linn
Cedar Rapids,2210 TRANQUIL CT NW,Residential,Single Family,New,54120,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2211 18TH ST NW,Residential,Single Family,New,87936,,10-Jun-16,Linn
Cedar Rapids,2212 SNAPDRAGON CIR SW,Residential,Single Family,New,86436,,20-Jul-16,Linn
